Ne,rep,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30
25110,453,0.0053476206719836,0.0051723277164908,0.0051419125825915,0.0051405156878824,0.0051457474407004,0.0051371362459591,0.0051196322267112,0.0051010403233334,0.0051032670803925,0.0051316737099167,0.0051005002420936,0.0051038532339134,0.0051163894375148,0.0050977990368915,0.005114480657442,0.0050904788244793,0.0050734252189557,0.0050901456614008,0.0051018145054432,0.0050633944957609,0.0050913170722183,0.0050954592445107,0.0050707880501526,0.0051036372863148,0.005048979374509,0.0050970864251637,0.0050524042180145,0.0050099667036762,0.0049934462740458,0.0049542392617115
27567,891,0.0054712482678697,0.0053092014016079,0.0052500458853854,0.0052420888507323,0.0052440702349701,0.005224834201357,0.0052478579276506,0.0052177432565403,0.0052579776787532,0.005241308084677,0.005237997013825,0.0052307899441908,0.0052437739258364,0.0052065630982723,0.0052081707347676,0.0052331902213226,0.0052010612277426,0.0052117216469756,0.0052191987393159,0.0052008370764545,0.0052360675343553,0.0052305573178245,0.0051885265623346,0.0052013851253588,0.0052113199247312,0.0052070349182578,0.0051726926696529,0.0051320382892858,0.0051581594788639,0.0050892196628889
27700,13,0.0054178243669513,0.0052419459427196,0.0052123389923972,0.0051991370225825,0.0051895981364763,0.0051823142021529,0.0051830116807237,0.005163941043974,0.0051767792678227,0.0051568645721754,0.0051636208580263,0.0051369689572858,0.0051814631587461,0.0051796604465494,0.0051423847491285,0.0051654367416585,0.0051614773562427,0.0051941096982339,0.0051378860168352,0.0051460554127668,0.0051436490003818,0.00514888222655,0.0051250909144577,0.0051138204837451,0.00512406572393,0.0051405144265606,0.0051364944051885,0.0051560330703564,0.0051977940730636,0.0052778742642998
27910,457,0.0055779559438506,0.0054332000762153,0.0053987034802375,0.0053883924472927,0.0053443417784094,0.0053321862311467,0.0053097866199441,0.0053360571072485,0.0053183512832677,0.0053109584149012,0.0053287499031454,0.0053221037035377,0.0053253082643908,0.0053050275777066,0.005325867205125,0.005286374501507,0.0052866064141387,0.0053128702132863,0.0052862653032903,0.0053036154051054,0.0053023226248385,0.0053296296544878,0.0053606174286954,0.0053358372075975,0.0052848816898065,0.0052885032142861,0.0052958753307101,0.0053205612625757,0.0053520930435111,0.0053183253696884
27927,730,0.0054819913401382,0.0053521806994621,0.0052913193280749,0.0052681582559341,0.0052699386742949,0.0052647944500346,0.0052670716990823,0.0052668485299,0.0052521204921078,0.005255351899127,0.0052623742026697,0.0052438392646652,0.0052516286325752,0.0052553090045394,0.005251746297552,0.0052298470065414,0.0052490682067187,0.0052486141830343,0.0052585226571816,0.0052505201842829,0.0052646445925106,0.0052603900399682,0.0052744625248486,0.0052749997939104,0.0052936418779057,0.0053094677713643,0.0053018664335295,0.0053091184610453,0.0052902435669738,0.005319966209986
29153,831,0.005457915887973,0.0053208216860012,0.005288745698036,0.0052788961298895,0.005274690571192,0.0052811129331111,0.0052412633225386,0.0052589288550375,0.0052515760213363,0.0052507679702457,0.0052496669181389,0.0052366033634277,0.0052455455897183,0.0052575717791353,0.0052325754089714,0.0052497831899933,0.0052417344132414,0.0052503649450788,0.0052621363824565,0.0052558044049072,0.0052355630290385,0.0052288476197367,0.0052180283738711,0.0052280504356981,0.0052406550937128,0.0052392591973229,0.005247765126231,0.0052476005907593,0.0053255315424399,0.0053607671463744
29169,143,0.0055196544975268,0.0053728500023904,0.0053279225908082,0.0053409287842407,0.0053239305689337,0.0053158824313032,0.0053225414532973,0.0053082020591517,0.0053073324065934,0.005296329633594,0.0053030279108209,0.0053045778819582,0.0052935480900637,0.0053028580310413,0.0053090751464247,0.0052922590585694,0.0053246751572573,0.0052956992312171,0.0052903857827674,0.0052947336402686,0.0052969424775578,0.0052760850021012,0.0053001484570083,0.0052697854993914,0.0052978084455064,0.0053270850872632,0.005332165024387,0.0053039861702805,0.0052747174881194,0.0052394162047123
29769,941,0.0053337180995313,0.0052423174754761,0.0051924390610212,0.0051852278412748,0.0051721614512333,0.0051842199768663,0.0051467401388748,0.0051792016327606,0.005154994282619,0.0051559184266054,0.005142087967245,0.0051438913338664,0.0051453521910424,0.0051471738357537,0.0051509634672457,0.0051221632309649,0.0051521212705135,0.0051481361787631,0.0051560749455555,0.0051765255532418,0.005158087819712,0.0051526965695767,0.0051498074797384,0.0051805233574875,0.0051744206888367,0.0051358814606114,0.0051501222233536,0.00517813138173,0.0051687406190124,0.0051095340283929
29780,340,0.0053728877594525,0.0052378869328295,0.0052412278305085,0.0052242851917442,0.005210667398652,0.0052034451205036,0.0052069591726746,0.0051962555041666,0.005212433400177,0.0052079267393833,0.0052067579929607,0.0052133193054472,0.0052174222998815,0.0052094134869785,0.0051751220030596,0.0051912848650764,0.0051926542668873,0.00517589351569,0.0051658193250029,0.0051662398988039,0.0051862763830954,0.0051714562236256,0.0051913199177844,0.005143101775344,0.0051356928164891,0.0051376649433704,0.0051390803846468,0.0051074086208341,0.0051218813904651,0.0051025178036943
30340,653,0.0053942579029244,0.0053098564525287,0.005262006412983,0.0052630488982663,0.0052671341094325,0.0052403922889665,0.0052352780663212,0.0052325872423418,0.0052306708322027,0.0052174278866346,0.0052196706590277,0.0052025153709298,0.0052210803003495,0.0051955614642036,0.0052114535221139,0.0052154961466501,0.0052370278153028,0.0052074461482334,0.0052293828615751,0.0052269959549007,0.0051975742115023,0.0052053908320932,0.0052180535306055,0.0052218811745144,0.0052567205201811,0.0052260551722889,0.0052795340559625,0.0052479679470101,0.0051576269655187,0.00516202443582
31557,743,0.0054280132871351,0.0052722628168769,0.0052469553811436,0.0052323552480787,0.0052209709568932,0.0052047154844326,0.005213603330472,0.0051992666105565,0.0051895294355493,0.0051796159079952,0.0051701619409064,0.0051745660171972,0.0051805829165558,0.0051981511895086,0.0052078121054764,0.0051941585354179,0.0051879539801945,0.0051626814405583,0.0051644588625593,0.0051776620942905,0.0051760821246677,0.0051917913446655,0.0051845848259448,0.0051924849085046,0.0051914481407329,0.005181528605656,0.0051930931853724,0.0052059206215448,0.0051808310764274,0.0052771806370055
31638,961,0.0054653066355064,0.0053570066218234,0.0053157139217507,0.0053068986226665,0.0052947614669621,0.0052749076212484,0.0052639522998078,0.0052574393255625,0.0052335684860798,0.0052385750381749,0.005252646401485,0.0052371185551865,0.0052677014747983,0.0052384693565779,0.0052464773077549,0.0052457879130324,0.0052530727565623,0.0052264711655677,0.0052603221591047,0.0052514614442324,0.0052434173770232,0.005262586045344,0.0052568538692071,0.0052318608139772,0.0052245039556445,0.0051764063085447,0.0052080804731595,0.0052158201187871,0.0052479695733845,0.0052650673075478
